============================= test session starts ==============================
platform darwin -- Python 3.9.6, pytest-8.4.2, pluggy-1.6.0 -- /Library/Developer/CommandLineTools/usr/bin/python3
cachedir: .pytest_cache
rootdir: /Users/kc/slice-of-pi
configfile: pyproject.toml
plugins: anyio-4.12.1, asyncio-1.2.0, cov-7.0.0
asyncio: mode=auto, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 309 items

tests/test_activities_api.py::TestListActivities::test_list_activities_empty PASSED [  0%]
tests/test_activities_api.py::TestListActivities::test_list_activities PASSED [  0%]
tests/test_activities_api.py::TestListActivities::test_list_activities_filter_by_agent PASSED [  0%]
tests/test_activities_api.py::TestListActivities::test_list_activities_limit PASSED [  1%]
tests/test_activities_api.py::TestListActivities::test_activity_event_data PASSED [  1%]
tests/test_agent_profile_service.py::TestFormatProfileAsPrompt::test_empty_for_nonexistent_agent PASSED [  1%]
tests/test_agent_profile_service.py::TestFormatProfileAsPrompt::test_empty_for_no_profile_data PASSED [  2%]
tests/test_agent_profile_service.py::TestFormatProfileAsPrompt::test_includes_static_facts PASSED [  2%]
tests/test_agent_profile_service.py::TestFormatProfileAsPrompt::test_includes_dynamic_facts PASSED [  2%]
tests/test_agent_profile_service.py::TestFormatProfileAsPrompt::test_caps_dynamic_at_5_entries PASSED [  3%]
tests/test_agent_profile_service.py::TestExtractSessionSummary::test_creates_summary_with_session_prefix PASSED [  3%]
tests/test_agent_profile_service.py::TestExtractSessionSummary::test_truncates_long_prompts PASSED [  3%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent PASSED      [  4%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_minimal PASSED [  4%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_empty_name_fails PASSED [  4%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_invalid_name_fails PASSED [  5%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_duplicate_fails PASSED [  5%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_emits_event PASSED [  5%]
tests/test_agents_api.py::TestCreateAgent::test_create_agent_records_activity PASSED [  6%]
tests/test_agents_api.py::TestListAgents::test_list_agents_empty PASSED  [  6%]
tests/test_agents_api.py::TestListAgents::test_list_agents PASSED        [  6%]
tests/test_agents_api.py::TestListAgents::test_list_agents_filter_by_status PASSED [  7%]
tests/test_agents_api.py::TestGetAgent::test_get_agent PASSED            [  7%]
tests/test_agents_api.py::TestGetAgent::test_get_agent_not_found PASSED  [  7%]
tests/test_agents_api.py::TestGetAgent::test_get_agent_with_schedule PASSED [  8%]
tests/test_agents_api.py::TestDeleteAgent::test_delete_agent PASSED      [  8%]
tests/test_agents_api.py::TestDeleteAgent::test_delete_agent_not_found PASSED [  8%]
tests/test_agents_api.py::TestDeleteAgent::test_delete_agent_emits_event PASSED [  9%]
tests/test_agents_api.py::TestDeleteAgent::test_delete_agent_records_activity PASSED [  9%]
tests/test_chat_api.py::TestChatStreaming::test_chat_returns_sse PASSED  [  9%]
tests/test_chat_api.py::TestChatStreaming::test_chat_streams_text_deltas PASSED [ 10%]
tests/test_chat_api.py::TestChatStreaming::test_chat_with_tool_call PASSED [ 10%]
tests/test_chat_api.py::TestChatStreaming::test_chat_agent_not_found PASSED [ 10%]
tests/test_chat_api.py::TestChatStreaming::test_chat_creates_session_record PASSED [ 11%]
tests/test_chat_api.py::TestChatStreaming::test_chat_agent_becomes_busy_then_idle PASSED [ 11%]
tests/test_chat_api.py::TestChatStreaming::test_chat_with_model_override PASSED [ 11%]
tests/test_chat_api.py::TestChatStreaming::test_chat_with_timeout_param PASSED [ 11%]
tests/test_chat_api.py::TestChatStreaming::test_chat_empty_message_fails PASSED [ 12%]
tests/test_chat_api.py::TestChatStreaming::test_chat_error_handling PASSED [ 12%]
tests/test_chat_api.py::TestChatHistory::test_chat_history_empty PASSED  [ 12%]
tests/test_chat_api.py::TestChatHistory::test_chat_history_after_chat PASSED [ 13%]
tests/test_chat_api.py::TestChatHistory::test_chat_history_agent_not_found PASSED [ 13%]
tests/test_chat_api.py::TestChatHistory::test_chat_history_limit PASSED  [ 13%]
tests/test_coms_api.py::TestListPeers::test_list_peers_empty PASSED      [ 14%]
tests/test_coms_api.py::TestListPeers::test_list_peers PASSED            [ 14%]
tests/test_coms_api.py::TestListPeers::test_peer_has_project PASSED      [ 14%]
tests/test_coms_api.py::TestListPeers::test_malformed_peer_file PASSED   [ 15%]
tests/test_coms_api.py::TestListPeers::test_multiple_projects PASSED     [ 15%]
tests/test_coms_api.py::TestListPeers::test_coms_methods PASSED          [ 15%]
tests/test_connectors.py::TestPluginDiscovery::test_discover_builtins PASSED [ 16%]
tests/test_connectors.py::TestPluginDiscovery::test_get_webhook_plugin PASSED [ 16%]
tests/test_connectors.py::TestPluginDiscovery::test_get_unknown_returns_none PASSED [ 16%]
tests/test_connectors.py::TestPluginDiscovery::test_list_available PASSED [ 17%]
tests/test_connectors.py::TestWebhookPlugin::test_authorize_valid_token PASSED [ 17%]
tests/test_connectors.py::TestWebhookPlugin::test_authorize_short_token_raises PASSED [ 17%]
tests/test_connectors.py::TestWebhookPlugin::test_verify_valid PASSED    [ 18%]
tests/test_database.py::TestAgentCRUD::test_create_agent PASSED          [ 18%]
tests/test_database.py::TestAgentCRUD::test_create_agent_defaults PASSED [ 18%]
tests/test_database.py::TestAgentCRUD::test_create_agent_duplicate_name_raises PASSED [ 19%]
tests/test_database.py::TestAgentCRUD::test_get_agent PASSED             [ 19%]
tests/test_database.py::TestAgentCRUD::test_get_agent_not_found PASSED   [ 19%]
tests/test_database.py::TestAgentCRUD::test_list_agents PASSED           [ 20%]
tests/test_database.py::TestAgentCRUD::test_list_agents_filter_by_status PASSED [ 20%]
tests/test_database.py::TestAgentCRUD::test_list_agents_empty PASSED     [ 20%]
tests/test_database.py::TestAgentCRUD::test_update_agent_status PASSED   [ 21%]
